label,text
exclamation,What a beautiful sunset!
statement,The movie received positive reviews.
exclamation,How amazing that is!
command,Stop talking immediately.
request,Would you be able to accommodate this request?
command,Direct customers to the counter please.
exclamation,How thrilling this moment is!
question,Who invented the printing press?
exclamation,How exciting the game was!
command,Get some rest now.
statement,He has been promoted to manager recently.
question,Where are you going right now?
statement,The train was delayed by thirty minutes.
question,Wouldn't it be better this way?
statement,We have visited that museum several times.
command,Send me an email when you can.
command,Jump to conclusions if you dare.
question,Will we be arriving soon?
command,Set the table for dinner.
command,Turn off the lights before leaving.
statement,The cat is sleeping peacefully on the couch.
command,Open the door please.
request,Would you care to join us for dinner?
command,Complete the task by tomorrow.
request,Could you arrange a meeting this week?
statement,The sun rises in the east every day.
exclamation,How remarkably elegant that is!
exclamation,How powerful the engine sounds!
statement,The baby is sleeping peacefully.
exclamation,What a delicious meal this was!
statement,She works at a bank downtown.
request,Might I suggest an alternative approach?
command,Describe the process in detail.
command,Fabricate the prototype as shown.
request,Could you pass the salt?
request,Can you give me directions to the station?
exclamation,How absolutely breathtaking this view is!
statement,He has contributed significantly to the project.
statement,He fixed the broken bicycle yesterday.
command,Pack your bags for the trip.
exclamation,What a strong wind is blowing!
command,Give me a moment to think.
exclamation,What an outstanding achievement this is!
question,Was the test difficult for you?
command,Do your chores before going out.
exclamation,What a spicy dish this is!
question,When did the Berlin Wall fall?
request,Could you write me a recommendation letter?
exclamation,How boring this lecture is!
exclamation,What an impressive turnout at the event!
statement,I visited my grandmother last weekend.
command,Locate the file on the server.
exclamation,What an easy question to answer!
question,Is it raining outside right now?
exclamation,How impressive your work is!
statement,I have been meaning to call you.
question,Did you finish the task on time?
exclamation,What a stupid mistake that was!
request,Would you please confirm your attendance?
request,Could you give me a moment of your time?
question,Who wrote Hamlet by Shakespeare?
command,Download the file from the website.
statement,The coffee is getting cold.
command,Explore new opportunities in your field.
request,Would you be so good as to assist me?
request,Could you provide more details about this?
question,Does this make sense to you?
command,Equalize the pressure in the tires.
request,May I have the bill please?
question,Had you heard that news before?
question,Should I wait for you here?
exclamation,How absolutely majestic this palace is!
question,Have you been to Paris before?
command,Take this medicine twice daily.
exclamation,What a perfect score on the test!
command,Create a backup copy of the files.
statement,We have been receiving positive feedback.
question,Who wrote Romeo and Juliet?
statement,The store opens at nine every morning.
exclamation,How remarkably skillful the artist is!
request,Can I reserve a table for two tonight?
command,Sign the document here please.
exclamation,What a gorgeous sunset this evening!
question,What is the population of Tokyo?
statement,The clock struck midnight exactly.
request,Can I borrow your pen for a moment?
statement,We went to the beach yesterday.
command,Initiate the process immediately.
command,Change the settings on your device.
request,Would you have time to help me?
command,Defend your position in the debate.
request,Would you sponsor my application?
question,What is the deepest ocean on Earth?
request,Could you bend the rules just this once?
request,Could you spare a few minutes for me?
statement,The children were playing in the park.
exclamation,How calm the evening feels!
command,Log in to your account now.
command,Lead the team to victory tomorrow.
command,Turn left at the corner please.
command,Review the notes carefully.
exclamation,How frightening the movie was!
request,Can you deliver it tomorrow morning?
question,Did she say anything important?
exclamation,What a magnificent stained glass window!
question,Why do we dream at night?
command,Close the window before leaving.
request,Could you make this a priority task?
exclamation,How ridiculous this situation is!
exclamation,How annoying this noise is!
command,Handle with care please.
request,Could you find time in your schedule?
command,Finalize the agreement today.
statement,She wrote a letter to her friend.
command,Cooperate with others on this project.
question,What is the chemical formula for water?
exclamation,What a talented musician he is!
question,When will the package arrive?
